column_name,stage,category,description,data_type,date_added,used_in_training
t2m,met,feature,Temperature at 2m height,float64,2026-01-06 02:43:14,1
d2m,met,feature,2m dewpoint temperature,float64,2026-01-06 02:43:14,1
u10,met,feature,10m u-component of wind,float64,2026-01-06 02:43:14,1
v10,met,feature,10m v-component of wind,float64,2026-01-06 02:43:14,1
sp,met,feature,Surface pressure,float64,2026-01-06 02:43:14,1
u100,met,feature,Meteorological variable: u100,float64,2026-01-06 02:43:14,1
v100,met,feature,Meteorological variable: v100,float64,2026-01-06 02:43:14,1
blh,met,feature,Boundary layer height,float64,2026-01-06 02:43:14,1
msl,met,feature,Meteorological variable: msl,float64,2026-01-06 02:43:14,1
tcc,met,feature,Meteorological variable: tcc,float64,2026-01-06 02:43:14,1
RH,met,feature,Relative humidity,float64,2026-01-06 02:43:14,1
q,met,feature,Meteorological variable: q,float64,2026-01-06 02:43:14,1
VPD,met,feature,Vapor pressure deficit,float64,2026-01-06 02:43:14,1
dT,met,feature,Meteorological variable: dT,float64,2026-01-06 02:43:14,1
theta,met,feature,Meteorological variable: theta,float64,2026-01-06 02:43:14,1
WS10,met,feature,Wind speed at 10m height,float64,2026-01-06 02:43:14,1
WD10,met,feature,Wind direction at 10m height,float64,2026-01-06 02:43:14,1
WS100,met,feature,Meteorological variable: WS100,float64,2026-01-06 02:43:14,1
WD100,met,feature,Meteorological variable: WD100,float64,2026-01-06 02:43:14,1
dWS,met,feature,Meteorological variable: dWS,float64,2026-01-06 02:43:14,1
dWD,met,feature,Meteorological variable: dWD,float64,2026-01-06 02:43:14,1
VC,met,feature,Vegetation condition index,float64,2026-01-06 02:43:14,1
VCi,met,feature,Meteorological variable: VCi,float64,2026-01-06 02:43:14,1
BLH_tend,met,feature,Meteorological variable: BLH (tend aggregation),float64,2026-01-06 02:43:14,1
CLR,met,feature,Meteorological variable: CLR,float64,2026-01-06 02:43:14,1
MSLP_tend,met,feature,Meteorological variable: MSLP (tend aggregation),float64,2026-01-06 02:43:14,1
SP_tend,met,feature,Meteorological variable: SP (tend aggregation),float64,2026-01-06 02:43:14,1
Stagnant,met,feature,Meteorological variable: Stagnant,float64,2026-01-06 02:43:14,1
HighRH,met,feature,Meteorological variable: HighRH,float64,2026-01-06 02:43:14,1
WS10_daily_mean,met,feature,Wind speed at 10m height (daily_mean aggregation),float64,2026-01-06 02:43:14,1
WS10_daily_max,met,feature,Wind speed at 10m height (daily_max aggregation),float64,2026-01-06 02:43:14,1
WS10_daily_min,met,feature,Wind speed at 10m height (daily_min aggregation),float64,2026-01-06 02:43:14,1
blh_daily_mean,met,feature,Boundary layer height (daily_mean aggregation),float64,2026-01-06 02:43:14,1
blh_daily_max,met,feature,Boundary layer height (daily_max aggregation),float64,2026-01-06 02:43:14,1
blh_daily_min,met,feature,Boundary layer height (daily_min aggregation),float64,2026-01-06 02:43:14,1
RH_daily_mean,met,feature,Relative humidity (daily_mean aggregation),float64,2026-01-06 02:43:14,1
RH_daily_max,met,feature,Relative humidity (daily_max aggregation),float64,2026-01-06 02:43:14,1
RH_daily_min,met,feature,Relative humidity (daily_min aggregation),float64,2026-01-06 02:43:14,1
t2m_daily_mean,met,feature,Temperature at 2m height (daily_mean aggregation),float64,2026-01-06 02:43:14,1
t2m_daily_max,met,feature,Temperature at 2m height (daily_max aggregation),float64,2026-01-06 02:43:14,1
t2m_daily_min,met,feature,Temperature at 2m height (daily_min aggregation),float64,2026-01-06 02:43:14,1
VPD_daily_mean,met,feature,Vapor pressure deficit (daily_mean aggregation),float64,2026-01-06 02:43:14,1
VPD_daily_max,met,feature,Vapor pressure deficit (daily_max aggregation),float64,2026-01-06 02:43:14,1
VPD_daily_min,met,feature,Vapor pressure deficit (daily_min aggregation),float64,2026-01-06 02:43:14,1
VC_daily_mean,met,feature,Vegetation condition index (daily_mean aggregation),float64,2026-01-06 02:43:14,1
VC_daily_max,met,feature,Vegetation condition index (daily_max aggregation),float64,2026-01-06 02:43:14,1
VC_daily_min,met,feature,Vegetation condition index (daily_min aggregation),float64,2026-01-06 02:43:14,1
doy_sin,met,feature,Seasonal encoding: doy_sin,float64,2026-01-06 02:43:14,1
doy_cos,met,feature,Seasonal encoding: doy_cos,float64,2026-01-06 02:43:14,1
doy_sin_2,met,feature,Seasonal encoding: doy_sin_2,float64,2026-01-06 02:43:14,1
doy_cos_2,met,feature,Seasonal encoding: doy_cos_2,float64,2026-01-06 02:43:14,1
doy_sin_3,met,feature,Seasonal encoding: doy_sin_3,float64,2026-01-06 02:43:14,1
doy_cos_3,met,feature,Seasonal encoding: doy_cos_3,float64,2026-01-06 02:43:14,1
heating_season_flag,met,feature,Seasonal indicator: heating_season_flag,int8,2026-01-06 02:43:14,1
burning_season_flag,met,feature,Seasonal indicator: burning_season_flag,int8,2026-01-06 02:43:14,1
WS10_lag1d,met,feature,Lagged feature: WS10_lag1d,float64,2026-01-06 02:43:14,1
WS10_lag3d,met,feature,Lagged feature: WS10_lag3d,float64,2026-01-06 02:43:14,1
WS10_rollmean_3d,met,feature,Rolling window feature: WS10_rollmean_3d,float64,2026-01-06 02:43:14,1
WS10_rollstd_3d,met,feature,Rolling window feature: WS10_rollstd_3d,float64,2026-01-06 02:43:14,1
WS10_rollmin_7d,met,feature,Rolling window feature: WS10_rollmin_7d,float64,2026-01-06 02:43:14,1
WS10_rollmax_7d,met,feature,Rolling window feature: WS10_rollmax_7d,float64,2026-01-06 02:43:14,1
calm3_count,met,feature,Low wind condition feature: calm3_count,float64,2026-01-06 02:43:14,1
calm3_flag,met,feature,Lagged feature: calm3_flag,int8,2026-01-06 02:43:14,1
calm7_count,met,feature,Low wind condition feature: calm7_count,float64,2026-01-06 02:43:14,1
calm7_flag,met,feature,Lagged feature: calm7_flag,int8,2026-01-06 02:43:14,1
blh_lag1d,met,feature,Lagged feature: blh_lag1d,float64,2026-01-06 02:43:14,1
